"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2012";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     9.0";"    36.2"
"18 tot 65 jaar";"Waarde";"2012";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     6.4";"    33.5"
"18 tot 65 jaar";"Waarde";"2012";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     6.2";"    32.2"
"18 tot 65 jaar";"Waarde";"2012";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     7.0";"    37.1"
"18 tot 65 jaar";"Waarde";"2012";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     6.5";"    34.0"
"18 tot 65 jaar";"Waarde";"2012";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     6.1";"    31.7"
"18 tot 65 jaar";"Waarde";"2012";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     6.1";"    32.2"
"18 tot 65 jaar";"Waarde";"2012";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     6.4";"    32.8"
"18 tot 65 jaar";"Waarde";"2012";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     6.1";"    32.4"
"18 tot 65 jaar";"Waarde";"2012";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     7.3";"    37.1"
"18 tot 65 jaar";"Waarde";"2012";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     6.3";"    30.9"
"18 tot 65 jaar";"Waarde";"2012";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     5.9";"    30.8"
"18 tot 65 jaar";"Waarde";"2012";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     6.6";"    33.1"
"18 tot 65 jaar";"Waarde";"2012";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"     7.0";"    35.6"
"18 tot 65 jaar";"Waarde";"2012";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"     6.1";"    32.2"
"18 tot 65 jaar";"Waarde";"2012";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"     4.8";"    23.7"
"18 tot 65 jaar";"Waarde";"2012";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"     4.2";"    21.4"
