"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2020";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"     6.4";"    17.1"
"65 jaar of ouder";"Waarde";"2020";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"     4.4";"    14.8"
"65 jaar of ouder";"Waarde";"2020";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"     4.2";"    15.7"
"65 jaar of ouder";"Waarde";"2020";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"     5.3";"    18.5"
"65 jaar of ouder";"Waarde";"2020";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"     4.6";"    14.5"
"65 jaar of ouder";"Waarde";"2020";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"     2.5";"     6.1"
"65 jaar of ouder";"Waarde";"2020";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"     4.0";"    14.1"
"65 jaar of ouder";"Waarde";"2020";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"     4.1";"    12.4"
"65 jaar of ouder";"Waarde";"2020";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"     4.0";"    10.1"
"65 jaar of ouder";"Waarde";"2020";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"     5.0";"    14.9"
"65 jaar of ouder";"Waarde";"2020";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"     2.9";"     8.5"
"65 jaar of ouder";"Waarde";"2020";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"     3.4";"    11.3"
"65 jaar of ouder";"Waarde";"2020";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"     4.4";"    14.7"
"65 jaar of ouder";"Waarde";"2020";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"     5.0";"    15.1"
"65 jaar of ouder";"Waarde";"2020";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"     4.2";"    11.7"
"65 jaar of ouder";"Waarde";"2020";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"     2.2";"     5.2"
"65 jaar of ouder";"Waarde";"2020";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"     2.2";"     5.5"
"65 jaar of ouder";"Waarde";"2020";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"     2.0";"     4.1"
"65 jaar of ouder";"Waarde";"2020";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"     2.5";"     6.3"
"65 jaar of ouder";"Waarde";"2020";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"     1.8";"     3.8"
"65 jaar of ouder";"Waarde";"2020";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"     2.5";"     5.7"
"65 jaar of ouder";"Waarde";"2020";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"     2.0";"     4.5"
"65 jaar of ouder";"Waarde";"2020";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"     2.2";"     4.3"
"65 jaar of ouder";"Waarde";"2020";"Van Loonbuurt";"Amsterdam                               ";"Buurt     ";"BU03630302          ";"     2.9";"     6.1"
"65 jaar of ouder";"Waarde";"2020";"Amstelveldbuurt";"Amsterdam                               ";"Buurt     ";"BU03630303          ";"     2.3";"     5.4"
"65 jaar of ouder";"Waarde";"2020";"Rembrandtpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630304          ";"     2.9";"    10.5"
"65 jaar of ouder";"Waarde";"2020";"Reguliersbuurt";"Amsterdam                               ";"Buurt     ";"BU03630305          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Leidsegracht Zuid";"Amsterdam                               ";"Buurt     ";"BU03630306          ";"     2.4";"     4.8"
"65 jaar of ouder";"Waarde";"2020";"Nieuwmarkt/Lastage";"Amsterdam                               ";"Wijk      ";"WK036304            ";"     4.8";"    14.2"
"65 jaar of ouder";"Waarde";"2020";"Oosterdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630400          ";"     2.3";"     6.5"
"65 jaar of ouder";"Waarde";"2020";"Scheepvaarthuisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630401          ";"     3.7";"     7.7"
"65 jaar of ouder";"Waarde";"2020";"Rapenburg";"Amsterdam                               ";"Buurt     ";"BU03630402          ";"     5.6";"    18.3"
"65 jaar of ouder";"Waarde";"2020";"Lastage";"Amsterdam                               ";"Buurt     ";"BU03630403          ";"     4.2";"    12.4"
"65 jaar of ouder";"Waarde";"2020";"Nieuwmarkt";"Amsterdam                               ";"Buurt     ";"BU03630404          ";"     5.7";"    17.8"
"65 jaar of ouder";"Waarde";"2020";"Uilenburg";"Amsterdam                               ";"Buurt     ";"BU03630405          ";"     4.8";"    13.3"
"65 jaar of ouder";"Waarde";"2020";"Valkenburg";"Amsterdam                               ";"Buurt     ";"BU03630406          ";"     4.7";"    13.6"
"65 jaar of ouder";"Waarde";"2020";"Zuiderkerkbuurt";"Amsterdam                               ";"Buurt     ";"BU03630407          ";"     4.8";"    15.0"
"65 jaar of ouder";"Waarde";"2020";"Waterloopleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630408          ";"     4.3";"    12.8"
"65 jaar of ouder";"Waarde";"2020";"Haarlemmerbuurt";"Amsterdam                               ";"Wijk      ";"WK036305            ";"     4.6";"    13.5"
"65 jaar of ouder";"Waarde";"2020";"Westerdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630500          ";"     4.5";"    11.4"
"65 jaar of ouder";"Waarde";"2020";"Haarlemmerbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03630501          ";"     4.1";"    13.4"
"65 jaar of ouder";"Waarde";"2020";"Haarlemmerbuurt West";"Amsterdam                               ";"Buurt     ";"BU03630502          ";"     5.2";"    15.1"
"65 jaar of ouder";"Waarde";"2020";"Westelijke eilanden";"Amsterdam                               ";"Buurt     ";"BU03630503          ";"     4.4";"    13.3"
"65 jaar of ouder";"Waarde";"2020";"Planciusbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630505          ";"     4.9";"    14.6"
"65 jaar of ouder";"Waarde";"2020";"Planciusbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630506          ";"     8.1";"    27.9"
"65 jaar of ouder";"Waarde";"2020";"Jordaan";"Amsterdam                               ";"Wijk      ";"WK036306            ";"     4.9";"    14.5"
"65 jaar of ouder";"Waarde";"2020";"Driehoekbuurt";"Amsterdam                               ";"Buurt     ";"BU03630600          ";"     4.8";"    15.8"
"65 jaar of ouder";"Waarde";"2020";"Bloemgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630602          ";"     4.5";"    13.9"
"65 jaar of ouder";"Waarde";"2020";"Marnixbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630603          ";"     7.0";"    19.3"
"65 jaar of ouder";"Waarde";"2020";"Zaagpoortbuurt";"Amsterdam                               ";"Buurt     ";"BU03630604          ";"     5.7";"    19.7"
"65 jaar of ouder";"Waarde";"2020";"Marnixbuurt Midden";"Amsterdam                               ";"Buurt     ";"BU03630605          ";"     3.5";"    14.7"
"65 jaar of ouder";"Waarde";"2020";"Elandsgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630606          ";"     5.1";"    15.4"
"65 jaar of ouder";"Waarde";"2020";"Passeerdersgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630607          ";"     3.8";"    10.6"
"65 jaar of ouder";"Waarde";"2020";"Groenmarktkadebuurt";"Amsterdam                               ";"Buurt     ";"BU03630608          ";"     6.3";"    13.5"
"65 jaar of ouder";"Waarde";"2020";"Marnixbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630609          ";"     3.7";"     7.7"
"65 jaar of ouder";"Waarde";"2020";"Anjeliersbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630610          ";"     4.3";"    13.0"
"65 jaar of ouder";"Waarde";"2020";"Anjeliersbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630611          ";"     5.0";"    14.4"
